text,style,temperature
這種天氣出門最適合，想要帥氣又甜美一點,甜酷,舒適
我超怕冷，優雅又不無聊,優雅,冷
不冷也不熱的感覺最棒，想有氣質又不失時尚,優雅,舒適
我超怕冷，想穿得有文藝氣息,文青,冷
流汗流整天，想要日系可愛感,可愛,熱
剛剛好的溫度，想要日系可愛感,可愛,舒適
流汗流整天，穿得有女人味一點,優雅,熱
穿太多會熱瘋，來點個性混可愛,甜酷,熱
現在天氣很讚，想要日系可愛感,可愛,舒適
感覺會感冒，穿得有女人味一點,優雅,冷
今天天氣爆炸熱，想要日系可愛感,可愛,熱
這種天氣不穿厚一點會冷死，自然風文青感,文青,冷
現在天氣很讚，日常好搭風,簡約,舒適
不冷也不熱的感覺最棒，想有氣質又不失時尚,優雅,舒適
現在天氣很讚，走一個甜酷風,甜酷,舒適
穿太多會熱瘋，穿簡單舒服就好,簡約,熱
今天穿短袖會冷爆，想有氣質又不失時尚,優雅,冷
今天適合隨便穿，走一個甜美風,可愛,舒適
可以穿得自在一點，想看起來有點壞又可愛,甜酷,舒適
這種天氣出門最適合，走一個甜酷風,甜酷,舒適
想穿點輕鬆的，走一個甜酷風,甜酷,舒適
外面真的很冷耶，走甜甜又帥的風格,甜酷,冷
不冷也不熱的感覺最棒，想要日系可愛感,可愛,舒適
可以穿得自在一點，自然風文青感,文青,舒適
不冷也不熱的感覺最棒，走一個甜美風,可愛,舒適
今天適合隨便穿，想穿得有文藝氣息,文青,舒適
這種天氣不穿厚一點會冷死，想看起來有點壞又可愛,甜酷,冷
氣溫超低的，穿簡單舒服就好,簡約,冷
這種天氣出門最適合，想穿得可愛一點,可愛,舒適
這種天氣不穿厚一點會冷死，走簡約風格,簡約,冷
今天適合隨便穿，走優雅路線,優雅,舒適
可以穿得自在一點，穿得有女人味一點,優雅,舒適
超悶熱，想穿得有文藝氣息,文青,熱
外面真的很冷耶，走一個甜美風,可愛,冷
想穿點輕鬆的，想文青但不太無聊,文青,舒適
風超大，走簡約風格,簡約,冷
外面像烤箱一樣，走一個文青路線,文青,熱
會中暑的那種熱，穿得俏皮一點,可愛,熱
剛剛好的溫度，想文青但不太無聊,文青,舒適
這種天氣出門最適合，穿簡單舒服就好,簡約,舒適
剛剛好的溫度，走一個文青路線,文青,舒適
不冷也不熱的感覺最棒，自然風文青感,文青,舒適
太陽快把我融化，日常好搭風,簡約,熱
太陽快把我融化，走一個甜美風,可愛,熱
我超怕冷，走一個文青路線,文青,冷
感覺會感冒，日常好搭風,簡約,冷
外面真的很冷耶，日常好搭風,簡約,冷
風超大，優雅又不無聊,優雅,冷
外面真的很冷耶，走優雅路線,優雅,冷
現在天氣很讚，走優雅路線,優雅,舒適
感覺會感冒，來點極簡風,簡約,冷
天氣好舒服，穿得俏皮一點,可愛,舒適
現在天氣很讚，來點成熟感,優雅,舒適
風超大，穿得俏皮一點,可愛,冷
外面真的很冷耶，想穿得可愛一點,可愛,冷
今天穿短袖會冷爆，來點極簡風,簡約,冷
風超大，走優雅路線,優雅,冷
外面真的很冷耶，走簡約風格,簡約,冷
